Terminal,Station,Latitude,Longitude,NbDocks,Notes
30000,100 Main Street SE,44.984892,-93.256551,27,
30001,25th Street & 33rd Ave S,44.957341,-93.223374,15,
30002,Riverside Ave & 23rd Ave S,44.967115,-93.240149,15,
30003,Plymouth Ave N &  N Oliver Ave,44.991412,-93.306269,15,
30004,11th Street & Hennepin,44.97534,-93.27869,23,
30005,Hennepin & Central Avenue NE,44.98889,-93.25392,15,
30006,YWCA Downtown,44.972217,-93.276435,23,
30007,9th Street & 4th Ave,44.97265,-93.26872,19,
30008,Midtown Exchange,44.94859,-93.2602,19,
30009,4th Street & 13th Ave SE,44.98102,-93.23746,19,
30010,Hennepin & Laurel Ave,44.97391,-93.28305,15,
30011,North 2nd Street & 4th Ave N,44.986087,-93.272459,19,
30012,Mpls Convention Center,44.970041,-93.275861,19,
30013,Lyndale Ave S & W 29th Street,44.9494847,-93.2882273,19,
30014,22nd Ave S & Franklin Ave,44.96293,-93.241042,15,
30015,Washington & Cedar,44.97344,-93.24748,20,
30016,Walker Art Center,44.96746,-93.28848,17,
30017,Lyndale Ave S & 22nd Street ,44.960744,-93.28815,19,
30018,MCAD,44.957214,-93.274981,17,
30019,Social Sciences,44.971359,-93.243754,29,
30020,YWCA Uptown,44.95131,-93.29853,19,
30021,Washington & 2nd Ave N,44.98383,-93.27099,19,
30022,26th Street & Lyndale,44.95548,-93.28775,15,
30023,Chicago & 27th Street,44.95355,-93.26259,15,
30024,Coffman Union,44.973378,-93.234762,35,
30025,Williamson Hall,44.977406,-93.234911,25,
30026,Mayo Memorial Building,44.97209,-93.23206,25,
30027,4th Street S & 19th Ave,44.97003,-93.24519,19,
30028,Washington & Marquette,44.98112,-93.26634,19,
30029,Hennepin County Government Center,44.976602,-93.266701,27,
30030,South 2nd Street & 3rd Ave S,44.9809267,-93.2634544,19,
30031,23rd Ave SE & 6th Street SE,44.977028,-93.221639,19,
30032,4th Street & 17th Ave SE,44.97913,-93.23189,15,
30033,Franklin & 11th Ave,44.96251,-93.2583,15,
30034,Oak Street Ramp,44.97202,-93.22697,23,
30035,Loring Park,44.9715,-93.284927,15,
30036,Downtown Library,44.980199,-93.269217,31,
30037,Currie Park,44.969225,-93.251136,15,
30038,E Franklin Ave & Bloomington Ave S,44.96285,-93.252269,15,
30039,10th Street & Nicollet Mall,44.973839,-93.274544,19,
30040,11th Street & Marquette,44.97265,-93.27405,19,
30041,Franklin & Portland,44.962846,-93.267526,15,
30042,IDS Center,44.975641,-93.272185,23,
30043,Lake Street & Humboldt,44.94865,-93.30077,19,
30044,26th Street & Hennepin,44.9554734,-93.297143,15,
30045,Franklin & 28th Ave,44.962701,-93.230893,19,
30046,Washington Ave S & 10th Ave S,44.97654,-93.25535,19,
30047,University & Bank Street SE,44.98717,-93.25576,19,
30048,Dupont Ave & 22nd Street,44.96146,-93.29303,15,
30049,Nicollet Ave & W 26th Street,44.95618,-93.27796,15,
30050,3rd Street S & 2nd Ave S,44.97974,-93.26599,27,
30051,7th Street & 4th Ave. S,44.97497,-93.266684,15,
30052,Nicollet Mall & Grant Street,44.96995,-93.278133,15,
30053,2nd Ave N & N 6th Street,44.980536,-93.275626,23,
30054,Midtown Greenway & 5th Ave S,44.950371,-93.269278,15,
30055,Malcolm Ave SE & 5th Street SE,44.9733714,-93.211264,25,"Moved 6/4/15 from 4th and Hennepin  44.980159, -93.271631"
30056,Target Field Station,44.9841254,-93.2790381,23,
30057,McNamara Center,44.9743,-93.22854,19,
30058,Elliot Hall,44.97685,-93.23818,15,
30059,Glenwood Ave & N Morgan Ave.,44.981147,-93.304427,15,
30060,Nicollet & Franklin,44.96342,-93.277939,23,
30061,W 31st Street & Hennepin Ave S,44.946687,-93.29736,19,
30062,Minneapolis Farmers Market,44.98052,-93.28542,15,
30063,Elliot Park,44.970553,-93.26079,15,
30064,28th Street & Nicollet Ave. S,44.9519,-93.27831,15,
30065,Washington Ave N & 9th Ave N,44.9898791,-93.2797837,15,
30066,Wirth Beach,44.9798,-93.322066,15,
30067,Bryant Ave N & West Broadway,44.999341,-93.290941,15,
30068,Girard Ave N & W Broadway Ave,44.99957,-93.297071,15,
30069,Farview Park,45.005994,-93.287559,15,
30070,West Broadway & Logan Ave N,45.002448,-93.305857,15,
30071,North Regional Library,45.012998,-93.296761,15,
30072,Lowry Ave N & Penn Ave,45.013318,-93.307798,15,
30073,West 34th Street  & Hennepin Ave S,44.941388,-93.298634,19,
30074,27th Ave SE & University Ave.,44.97259,-93.218919,15,
30075,Curfew Street & Ellis Ave.,44.96616,-93.20525,15,
30076,Carleton Street & University Ave ,44.963549,-93.195906,15,
30077,Fairview Ave. & University Ave.,44.95665,-93.17706,15,
30078,Hamline University,44.964172,-93.165868,15,
30079,Sherburne Ave & Snelling Ave N,44.956624,-93.16734,15,
30080,Midtown YWCA,44.94823,-93.24054,15,
30081,East Lake Street & 36th Ave S,44.94826,-93.22106,15,
30082,N Victoria Street & University Ave ,44.956052,-93.136556,15,
30083,Wilder Street & Marshall Ave,44.948147,-93.185819,15,
30084,Grand Ave & Cretin Ave,44.939936,-93.192758,15,
30085,Grand Ave & Fairview Ave,44.940513,-93.177093,15,
30086,Macalester College,44.940218,-93.17022,15,
30087,Grant Street & Portland Ave,44.96954,-93.2669,15,
30088,6th Ave. SE & University Ave.,44.983281,-93.24812,27,
30089,Lake Calhoun Center,44.94885,-93.31759,27,
